2.826224096830676213e+00,1.557873947762729583e-01,3.161356778381116395e-01,2.782541453154368516e-01,2.716900802132862780e-01,2.205757148051741834e-01,2.216379259188768491e-01,3.286865852902691731e-01,2.356472700870265724e-01,2.978093025862218468e-01
1.557873947762729583e-01,2.139393097366293794e+00,2.000773242198768398e-01,2.006699840996296336e-01,1.579491166838928595e-01,1.563706812971031035e-01,1.448158737149343456e-01,2.114071189041584475e-01,2.164173954325830929e-01,1.958982082378427636e-01
3.161356778381116395e-01,2.000773242198768398e-01,3.358976513708619382e+00,3.548017703898714847e-01,3.294491024995258033e-01,2.780905766117808264e-01,3.243597977058000903e-01,3.656367659067962239e-01,3.233948625675395760e-01,3.670306359693168985e-01
2.782541453154368516e-01,2.006699840996296336e-01,3.548017703898714847e-01,3.083943197068931941e+00,2.677778539434587657e-01,2.432736636176909273e-01,2.608382678128662868e-01,3.072937472399049907e-01,2.832695486733293744e-01,3.877642159767439312e-01
2.716900802132862780e-01,1.579491166838928595e-01,3.294491024995258033e-01,2.677778539434587657e-01,2.835714192936565237e+00,2.783820627935909564e-01,2.412485301031227491e-01,3.106324631029616645e-01,2.075206439142943671e-01,2.710643396824313767e-01
2.205757148051741834e-01,1.563706812971031035e-01,2.780905766117808264e-01,2.432736636176909273e-01,2.783820627935909564e-01,2.556152276561899583e+00,2.286743503970265767e-01,2.504506218166415721e-01,1.774419864099598954e-01,2.228926188129312647e-01
2.216379259188768491e-01,1.448158737149343456e-01,3.243597977058000903e-01,2.608382678128662868e-01,2.412485301031227491e-01,2.286743503970265767e-01,2.632705502008287013e+00,2.401844574401992283e-01,2.156610258480319842e-01,2.552852730674287640e-01
3.286865852902691731e-01,2.114071189041584475e-01,3.656367659067962239e-01,3.072937472399049907e-01,3.106324631029616645e-01,2.504506218166415721e-01,2.401844574401992283e-01,3.142715723016080709e+00,3.014701870689767138e-01,3.269537762461724451e-01
2.356472700870265724e-01,2.164173954325830929e-01,3.233948625675395760e-01,2.832695486733293744e-01,2.075206439142943671e-01,1.774419864099598954e-01,2.156610258480319842e-01,3.014701870689767138e-01,2.756795416787239272e+00,2.959724967854976962e-01
2.978093025862218468e-01,1.958982082378427636e-01,3.670306359693168985e-01,3.877642159767439312e-01,2.710643396824313767e-01,2.228926188129312647e-01,2.552852730674287640e-01,3.269537762461724451e-01,2.959724967854976962e-01,3.120670867364586432e+00
