well,random,poor
0.014249147896116253,21.83054534031127,-3211010.288039606
-0.053612418867601055,-4.191684590837394,282736624.27641857
0.09267529621335993,-34.45946553241362,-6115774240.85798
-0.026206038309175336,-22.3284412628019,56174225604.74152
-0.06396084032283081,-17.116814968221984,-269726315074.8476
0.12222305460651371,22.462736859597587,744674218370.4971
0.05167859905901901,11.545109911741184,-1225229025702.2322
0.16901546735237988,11.777409765247729,1186235680260.8806
0.2619128239964562,36.79513448711174,-623515378215.4427
0.24668800056629903,-1.0805295419672938,137225157838.18816
