well,random,poor
0.014249152464256,-4.62524198374805E+159,-1.98239779598368E+177
-0.053612414588756,-5.33769482993381E+159,-4.63830846744146E+177
0.092675300927408,-4.3965789249801E+159,-6.49276389108454E+177
-0.02620603365802,-4.11007274559206E+159,-7.90030333369859E+177
-0.063960835738536,-3.98348158153693E+159,-9.01721789986471E+177
0.122223059085288,-5.03203874315812E+159,-9.93015721176614E+177
0.051678603568812,-5.01730737424272E+159,-1.0692791321761E+178
0.169015472018722,-4.72704429928682E+159,-1.1340746124593E+178
0.261912828547143,-4.20295828773236E+159,-1.18988488450991E+178
0.246688005228143,-4.82436696768404E+159,-1.23850469216698E+178
